tender_ref,plant_id,grade_code,tonnes,window_start,window_end,rate_per_t,freight_per_t,option_pct
T-23-01,P1,PLT-B2,23600,2023-04-01,2024-03-31,8020,1880,0.25
C-23-42,P12,PLT-B2,7300,2023-04-01,2024-03-31,6940,600,0.0
T-23-05,P2,PLT-B2,25300,2023-04-01,2024-03-31,7390,1640,0.25
T-23-09,P3,PLT-A1,24200,2023-04-01,2024-03-31,7120,1450,0.25
T-23-13,P4,PLT-T1,24200,2023-04-01,2024-03-31,7400,1720,0.25
T-23-17,P5,PLT-T1,25200,2023-04-01,2024-03-31,6930,1810,0.25
T-23-21,P6,PLT-B2,21700,2023-04-01,2024-03-31,8180,1690,0.25
T-23-24,P7,PLT-T1,23400,2023-04-01,2024-03-31,8110,1380,0.25
T-23-27,P8,PLT-B2,20500,2023-04-01,2024-03-31,7250,740,0.25
C-23-35,P10,PLT-B2,6100,2023-06-01,2024-05-31,7940,780,0.0
C-23-31,P9,PLT-T1,7400,2023-06-01,2024-05-31,7970,620,0.0
C-23-39,P11,PLT-A1,6000,2023-07-01,2024-06-30,8140,540,0.0
T-24-02,P1,PLT-A1,25800,2024-04-01,2025-03-31,8590,1880,0.25
C-24-43,P12,PLT-B2,5900,2024-04-01,2025-03-31,7540,600,0.0
T-24-06,P2,PLT-B2,24200,2024-04-01,2025-03-31,7700,1640,0.25
T-24-10,P3,PLT-T1,22500,2024-04-01,2025-03-31,7980,1450,0.25
T-24-14,P4,PLT-A1,22100,2024-04-01,2025-03-31,7450,1720,0.25
T-24-18,P5,PLT-A1,23300,2024-04-01,2025-03-31,8160,1810,0.25
T-24-25,P7,PLT-B2,21500,2024-04-01,2025-03-31,7580,1380,0.25
T-24-28,P8,PLT-T1,21100,2024-04-01,2025-03-31,7790,740,0.25
C-24-36,P10,PLT-T1,8300,2024-06-01,2025-05-31,7770,780,0.0
C-24-32,P9,PLT-T1,5600,2024-06-01,2025-05-31,7530,620,0.0
C-24-40,P11,PLT-B2,8100,2024-07-01,2025-06-30,7670,540,0.0
T-25-03,P1,PLT-A1,23600,2025-04-01,2026-03-31,8270,1880,0.25
C-25-44,P12,PLT-T1,8900,2025-04-01,2026-03-31,7780,600,0.0
T-25-07,P2,PLT-A1,22200,2025-04-01,2026-03-31,8630,1640,0.25
T-25-11,P3,PLT-A1,22700,2025-04-01,2026-03-31,7490,1450,0.25
T-25-15,P4,PLT-B2,23800,2025-04-01,2026-03-31,7770,1720,0.25
T-25-19,P5,PLT-T1,26100,2025-04-01,2026-03-31,8810,1810,0.25
T-25-22,P6,PLT-B2,21900,2025-04-01,2026-03-31,8080,1690,0.25
T-25-26,P7,PLT-T1,26700,2025-04-01,2026-03-31,8410,1380,0.25
T-25-29,P8,PLT-B2,24200,2025-04-01,2026-03-31,7460,740,0.25
C-25-37,P10,PLT-T1,7200,2025-06-01,2026-05-31,7570,780,0.0
C-25-33,P9,PLT-T1,8500,2025-06-01,2026-05-31,7930,620,0.0
T-26-04,P1,PLT-T1,23700,2026-04-01,2027-03-31,9060,1880,0.25
C-26-45,P12,PLT-A1,8000,2026-04-01,2027-03-31,8190,600,0.0
T-26-08,P2,PLT-A1,26900,2026-04-01,2027-03-31,8650,1640,0.25
T-26-12,P3,PLT-B2,21000,2026-04-01,2027-03-31,8360,1450,0.25
T-26-16,P4,PLT-T1,24400,2026-04-01,2027-03-31,8590,1720,0.25
T-26-20,P5,PLT-A1,26900,2026-04-01,2027-03-31,8400,1810,0.25
T-26-23,P6,PLT-B2,22600,2026-04-01,2027-03-31,8740,1690,0.25
T-26-30,P8,PLT-T1,23700,2026-04-01,2027-03-31,8600,740,0.25
C-26-38,P10,PLT-A1,7500,2026-06-01,2027-05-31,8450,780,0.0
C-26-34,P9,PLT-T1,7100,2026-06-01,2027-05-31,8350,620,0.0
C-26-41,P11,PLT-A1,6000,2026-07-01,2027-06-30,8800,540,0.0
