msg_id,thread_id,sent_at,from_addr,to_addr,subject,body
M00001,TH00001,2023-04-12,purchase@marudharbiofuels.in,sanwariya@example.in,Requirement rice husk 2023-04,We need 339.0 MT of rice husk. Can you commit by 12-Apr-2023?
M00002,TH00001,2023-04-12,sanwariya@example.in,purchase@marudharbiofuels.in,RE: Requirement rice husk 2023-04,Accepted. 339.0 MT rice husk @ Rs 1900 PMT. Delivery 12-Apr-2023 positive.
M00003,TH00002,2023-04-18,purchase@marudharbiofuels.in,nakoda@example.in,Requirement mustard stalk 2023-04,Please confirm availability of 363.2 MT mustard stalk for delivery by 18-Apr-2023.
M00004,TH00002,2023-04-18,nakoda@example.in,purchase@marudharbiofuels.in,RE: Requirement mustard stalk 2023-04,Accepted. 363.2 MT mustard stalk @ Rs 2258 PMT. Delivery 18-Apr-2023 positive.
M00005,TH00003,2023-04-11,purchase@marudharbiofuels.in,new@example.in,Requirement rice husk 2023-04,"Requirement 184.0 MT rice husk, delivery on or before 11-Apr-2023. Kindly confirm rate."
M00006,TH00003,2023-04-11,new@example.in,purchase@marudharbiofuels.in,RE: Requirement rice husk 2023-04,Accepted. 184.0 MT rice husk @ Rs 1926 PMT. Delivery 11-Apr-2023 positive.
M00007,TH00004,2023-04-22,purchase@marudharbiofuels.in,new@example.in,Requirement rice husk 2023-04,We need 263.6 MT of rice husk. Can you commit by 22-Apr-2023?
M00008,TH00004,2023-04-22,new@example.in,purchase@marudharbiofuels.in,RE: Requirement rice husk 2023-04,Ok for 263.6 MT at Rs 1950 per tonne. Loading will start before 22-Apr-2023.
M00009,TH00005,2023-04-17,purchase@marudharbiofuels.in,khatu@example.in,Requirement mustard stalk 2023-04,"Requirement 160.0 MT mustard stalk, delivery on or before 17-Apr-2023. Kindly confirm rate."
M00010,TH00005,2023-04-17,khatu@example.in,purchase@marudharbiofuels.in,RE: Requirement mustard stalk 2023-04,Ok for 160.0 MT at Rs 2252 per tonne. Loading will start before 17-Apr-2023.
M00011,TH00006,2023-04-22,purchase@marudharbiofuels.in,maa@example.in,Requirement mustard stalk 2023-04,Please confirm availability of 147.3 MT mustard stalk for delivery by 22-Apr-2023.
M00012,TH00006,2023-04-22,maa@example.in,purchase@marudharbiofuels.in,RE: Requirement mustard stalk 2023-04,Accepted. 147.3 MT mustard stalk @ Rs 2273 PMT. Delivery 22-Apr-2023 positive.
M00013,TH00007,2023-04-28,purchase@marudharbiofuels.in,shri@example.in,Requirement rice husk 2023-04,"Requirement 257.9 MT rice husk, delivery on or before 28-Apr-2023. Kindly confirm rate."
M00014,TH00007,2023-04-28,shri@example.in,purchase@marudharbiofuels.in,RE: Requirement rice husk 2023-04,Accepted. 257.9 MT rice husk @ Rs 1963 PMT. Delivery 28-Apr-2023 positive.
M00015,TH00008,2023-04-24,purchase@marudharbiofuels.in,maa@example.in,Requirement mustard stalk 2023-04,"Requirement 159.7 MT mustard stalk, delivery on or before 24-Apr-2023. Kindly confirm rate."
M00016,TH00008,2023-04-24,maa@example.in,purchase@marudharbiofuels.in,RE: Requirement mustard stalk 2023-04,Accepted. 159.7 MT mustard stalk @ Rs 2184 PMT. Delivery 24-Apr-2023 positive.
M00017,TH00009,2023-04-15,purchase@marudharbiofuels.in,khatu@example.in,Requirement rice husk 2023-04,"Requirement 405.0 MT rice husk, delivery on or before 15-Apr-2023. Kindly confirm rate."
M00018,TH00009,2023-04-15,khatu@example.in,purchase@marudharbiofuels.in,RE: Requirement rice husk 2023-04,Accepted. 405.0 MT rice husk @ Rs 1930 PMT. Delivery 15-Apr-2023 positive.
M00019,TH00010,2023-04-11,purchase@marudharbiofuels.in,new@example.in,Requirement rice husk 2023-04,Please confirm availability of 409.6 MT rice husk for delivery by 11-Apr-2023.
